Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,3.0,0.1749,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Incredible locations dont be put off thinking these are boring churches
1,5.0,0.1795,"site, experience, late, gem, miss, day, visit, early, cliff, make",Poor behavior of guide -- turn off of my day
2,2.0,0.1795,"small, guide, hidden, build, work, part, hard, closed, gem, ground","900 years active churches, tunel connected"
3,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable 
4,2.0,0.204,"small, guide, hidden, build, work, part, hard, closed, gem, ground",I cant imagine the hard work involved in carving these churches
5,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable
6,0.0,0.1667,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life","Churches are interesting but badly kept, dirty but... 50$"
7,1.0,0.1795,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Expensive trip - don’t need to see 11
8,1.0,0.183,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Unlike any other churches on Earth!
9,4.0,0.1808,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme","Amazing Churches, a little expensive"
10,2.0,0.183,"small, guide, hidden, build, work, part, hard, closed, gem, ground",Amazing place (if you dont take a bad guide)
11,0.0,0.1795,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",A hidden gem
12,5.0,0.1872,"site, experience, late, gem, miss, day, visit, early, cliff, make","Unique site, poorly managed"
13,3.0,0.1795,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",An Unbelievable Experience
14,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable.
15,0.0,0.1987,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",A must to see once in life-time
16,4.0,0.183,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Amazing - but 50 USD for the visit of the churches? Its too expensive!
17,4.0,0.1808,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme","Expensive, but a must see"
18,1.0,0.1908,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",RIDICULOUSLY overpriced at $50 US admission.
19,1.0,0.1795,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Too expensive to fully appreciate
20,1.0,0.1902,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Not worth the money
21,4.0,0.1808,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Way too expensive
22,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable visit
23,0.0,0.1761,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",slow down and really spend time with the site
24,1.0,0.2058,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Be careful if you suffer from vertigo or are unsteady on your pins
25,4.0,0.1987,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme","Expensive, too expensive"
26,1.0,0.1761,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Expensive day trip
27,0.0,0.1667,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",Not worth $50
28,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable beauty
29,0.0,0.1667,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",Not worth $50
30,4.0,0.1808,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Too expensive
31,4.0,0.1803,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme","Ruins, impertinent tipp claims - STAY AWAY!"
32,1.0,0.1795,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Expensive But Worth It
33,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable
34,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable
35,3.0,0.1782,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",One part of a profound complex
36,5.0,0.1761,"site, experience, late, gem, miss, day, visit, early, cliff, make",Horrible experience due to the locals
37,0.0,0.1761,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",Hard walking at 8000 feet
38,2.0,0.1921,"small, guide, hidden, build, work, part, hard, closed, gem, ground",Visit late at night or in the early hours of the morning! Be sensitive and buy a white shawl.
39,1.0,0.1795,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Words fail to describe beauty of Bet Giorgis
40,4.0,0.1987,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Way too expensive for a family. We didnt go
41,4.0,0.183,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme","Unique, bloody expensive"
42,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",unbelievable
43,0.0,0.1667,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",St. Georgis and other Churches in Lalibela
44,5.0,0.1795,"site, experience, late, gem, miss, day, visit, early, cliff, make",Heavily overprized
45,4.0,0.183,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Amazing but very expensive now!!!!
46,3.0,0.1786,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average","Awesome, but expensive and badly maintained"
47,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable
48,2.0,0.1795,"small, guide, hidden, build, work, part, hard, closed, gem, ground",An unknown wonder of the world
49,3.0,0.1795,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",the hidden treasure of ethiopia
50,5.0,0.183,"site, experience, late, gem, miss, day, visit, early, cliff, make",A hidden jewel in Ethiopia- dont miss it!
51,0.0,0.183,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",The hidden beauty in this world
52,2.0,0.1782,"small, guide, hidden, build, work, part, hard, closed, gem, ground","Biblical!!!! Inside of building up a church, it was built down into the volcanic rock!"
53,5.0,0.1929,"site, experience, late, gem, miss, day, visit, early, cliff, make",Surprisingly Few Visitors When I Visited
54,1.0,0.1923,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",NOT worth the money!
55,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",All that I expected.
56,0.0,0.1795,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",You will go back few times
57,2.0,0.1728,"small, guide, hidden, build, work, part, hard, closed, gem, ground",Spent 4 hours with a guide touring the 11 Churches
58,0.0,0.1667,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",A little disappointed
59,5.0,0.1816,"site, experience, late, gem, miss, day, visit, early, cliff, make",Unbelievable Experience
60,2.0,0.1954,"small, guide, hidden, build, work, part, hard, closed, gem, ground","Lalibela :Built on stretches of volcanic tuff, workers carved down into the ground to form the churches inside an"
61,2.0,0.1825,"small, guide, hidden, build, work, part, hard, closed, gem, ground",Unbelievable experience what stone work was possible with so little tools so far back in history
62,3.0,0.1795,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable experience
63,1.0,0.183,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",strange church
64,4.0,0.1872,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Typical evidence of early advancement of Ethiopia
65,1.0,0.1795,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk",Least conveniently located church
66,5.0,0.1752,"site, experience, late, gem, miss, day, visit, early, cliff, make","Very tough, scary but breathtaking view"
67,3.0,0.1795,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Some well spent effort
68,0.0,0.1795,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",Hidden gem
69,1.0,0.1966,"worth, trip, inside, money, overprice, quaint, pin, dark, rock, walk","Holy flees, not worth the money"
70,5.0,0.2034,"site, experience, late, gem, miss, day, visit, early, cliff, make",A little while away from the main centre of town
71,2.0,0.1908,"small, guide, hidden, build, work, part, hard, closed, gem, ground",Church in a Cave with Dead Bodies
72,0.0,0.183,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",Hidden church in cave
73,2.0,0.1908,"small, guide, hidden, build, work, part, hard, closed, gem, ground",hidden treasure of the mysterious ethiopia
74,4.0,0.195,"expensive, difficult, hour, long, volcanic, religious, family, hidden, ooze, extreme",Completely unique but difficult to get there
75,3.0,0.183,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",Unbelievable
76,3.0,0.1795,"unbelievable, treasure, climb, crazy, spend, secret, discover, include, pity, average",The hidden treasure
77,0.0,0.1966,"hide, orthodox, history, time, close, documentary, admission, important, heavily, life",Weird backdrop
