Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,6.0,0.1239,"culture, learn, history, tour, art, historical, educational, presentation, year, expect",For a quick hop only
1,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Amazing
2,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Interesting
3,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",great place to be
4,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Worthwhile visit
5,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Terribly touching
6,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Worth a visit
7,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet","Great Museum, good Memorial."
8,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Very touching
9,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",A once great museum 
10,1.0,0.1368,"worth, stop, guide, recent, explanation, trip, description, deal, lack, end",Worth the trip 
11,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",3 year old loved it
12,1.0,0.1285,"worth, stop, guide, recent, explanation, trip, description, deal, lack, end",Worth to vist
13,5.0,0.1261,"history, top, insight, exhibition, cultural, sober, part, unique, early, historic",Good for place for Historians/archaeologist to visit
14,1.0,0.1258,"worth, stop, guide, recent, explanation, trip, description, deal, lack, end","Small and sparse, but worth the visit"
15,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Worth a visit
16,2.0,0.1237,"collection, history, visit, display, local, small, content, quality, give, informative",This museum contains some very important hiistorical artefacts.
17,2.0,0.1176,"collection, history, visit, display, local, small, content, quality, give, informative",Nice small museum
18,0.0,0.1237,"time, hour, food, highly, spend, recommend, work, people, start, meet",Well-designed museum and tour guides are excellent
19,3.0,0.1261,"small, experience, photo, quick, item, bone, ground, watercolour, art, extremely",Interesting and moving experience
20,1.0,0.1346,"worth, stop, guide, recent, explanation, trip, description, deal, lack, end",Really interesting but you must use an official guide
21,7.0,0.1235,"move, small, information, modern, basement, overview, guide, cool, maintain, restaurant",saw a huge land tortoise on the grounds
22,0.0,0.1111,"time, hour, food, highly, spend, recommend, work, people, start, meet",Best museum in Addis
