Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2065,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fantastic!
2066,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Good Job Mr Sheldrrick.....!!
2067,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned","If you love elephants, you are gonna love this place."
2068,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing
2069,5.0,0.1282,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Touching And Significant
2070,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",What a cool concept
2071,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Wonderful
2072,3.0,0.1285,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort","Very memorable place to visit, learnt so much"
2073,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",What a wonderful job they do here
2074,5.0,0.1453,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned","Amazing elephants, amazing people, wonderful cause"
2075,1.0,0.1261,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",One of the best White sands!
2076,1.0,0.1453,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Clean sands meet the sea
2077,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great beach
2078,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fantastic beach
2079,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Best beach in africa
2080,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",My favorite destination
2081,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",beautiful...
2082,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",WOW
2083,2.0,0.1261,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",perfect for short tour
2084,2.0,0.1264,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Unbelievably fantastic Nairobi national park!
2085,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fantastic
2086,3.0,0.1239,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",Remarkable jaw-dropper on the edge of a city of millions
2087,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great National Park in Nairobi
2088,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing 
