Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,4.0,0.1356,"history, bird, local, make, lot, human, insight, tribe, information, unexpected",rich with history
1,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",An old portugese fort
2,6.0,0.1334,"informative, hour, art, show, introduction, overview, gem, life, natural, cool","Most probably, most important place to see in Mombasa"
3,4.0,0.1378,"history, bird, local, make, lot, human, insight, tribe, information, unexpected",Amazing and rich history
4,5.0,0.1422,"tour, experience, historical, display, historic, story, stop, expect, short, walk",Great historical monument
5,2.0,0.1356,"history, small, movie, early, bit, surprisingly, woman, set, alive, cheap",Beautiful place with very rich history
6,3.0,0.1422,"worth, afternoon, piece, view, home, spot, snake, stay, property, city",Perfect Place to Stay at Wilson Airport
7,0.0,0.1394,"time, spend, experience, exhibit, kid, back, location, family, past, maintain","A friendly, no frills, efficient facility, close to Nairobi National Park."
8,6.0,0.1544,"informative, hour, art, show, introduction, overview, gem, life, natural, cool",Absolutely unique!
9,2.0,0.1394,"history, small, movie, early, bit, surprisingly, woman, set, alive, cheap","Old Aero Club, Nairobi"
10,7.0,0.1528,"collection, cultural, guide, learn, dance, ground, visit, tourist, highly, railway",Excellent Food !! Also perfect accommodation for transit passengers using Wilson Airport.
11,6.0,0.1373,"informative, hour, art, show, introduction, overview, gem, life, natural, cool",Cool place to eat!
12,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",Best way to start a Wilson journey
13,3.0,0.1507,"worth, afternoon, piece, view, home, spot, snake, stay, property, city",i ate the best curry of my life here whilst waiting for a Mara flight
14,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",Great place for a Saturday lunch
15,3.0,0.1587,"worth, afternoon, piece, view, home, spot, snake, stay, property, city",Calm stay in Nairobi
16,6.0,0.14,"informative, hour, art, show, introduction, overview, gem, life, natural, cool",Very Good Burgers
17,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",BEST OF KENYA
18,7.0,0.1356,"collection, cultural, guide, learn, dance, ground, visit, tourist, highly, railway","Nice bit of old colonial Africa -- if that is ""nice""???"
19,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",NRW Wow
20,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",pretty scruffy but convenient
21,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",Easy Comfortable Club
22,1.0,0.1422,"culture, day, educational, trip, real, fan, full, worthwhile, read, half",Nice spot with great breakfast
23,5.0,0.1389,"tour, experience, historical, display, historic, story, stop, expect, short, walk",Excellent tour and strongly recommended
24,5.0,0.1356,"tour, experience, historical, display, historic, story, stop, expect, short, walk",Wonderful experience
25,0.0,0.125,"time, spend, experience, exhibit, kid, back, location, family, past, maintain",Lovely place to visit
26,3.0,0.1394,"worth, afternoon, piece, view, home, spot, snake, stay, property, city",Amazing tour of beautiful property
