Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Disappointing
1,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Terrible experience at Karen Blixen
2,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Disappointed 
3,7.0,0.1285,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Not worth the effort
4,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Pathetic
5,8.0,0.141,"hard, gem, money, tourist, service, city, green, run, enclosure, racist",Less travelled world
6,2.0,0.1285,"hold, street, small, green, nature, memory, suppose, idyllic, forgettable, pale","Dirty, crowded, unsafe"
7,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",A Peek into the Colonial past
8,3.0,0.1399,"tea, grow, cart, live, shoe, donkey, pity, receive, hospitality, hide",Filthy bathroom and threadbare uniforms
9,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Average
10,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Dirty
11,7.0,0.1285,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Needs a little make up
12,0.0,0.1237,"small, long, trip, past, bore, wife, coffee, casual, beach, local","Be careful,dress very casually"
13,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local","Slum tourism, right or wrong???"
14,6.0,0.1261,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",An expected gem!
15,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Really Sad
16,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Center of Nairobi
17,5.0,0.1261,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn",Crocodile protection center
18,3.0,0.1285,"tea, grow, cart, live, shoe, donkey, pity, receive, hospitality, hide",Slightly scarey
19,1.0,0.1261,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Waste of time if you have seen a crocodile before
20,1.0,0.1212,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Boring but if you are a tourist go ahead make your day.
21,4.0,0.1242,"drive, day, secret, expensive, target, forever, hour, find, hearte, building",Not for the faint hearted.
22,8.0,0.1285,"hard, gem, money, tourist, service, city, green, run, enclosure, racist",Horrifying
23,7.0,0.1264,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Curious me in a Hindu Temple
24,7.0,0.1264,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Mediocre and sometimes reckless drivers
25,3.0,0.1285,"tea, grow, cart, live, shoe, donkey, pity, receive, hospitality, hide",The other side of Nairobi
26,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Not really Kenyan
27,0.0,0.1261,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Tried to grow coffee in wrong place
28,2.0,0.1423,"hold, street, small, green, nature, memory, suppose, idyllic, forgettable, pale",Small nature park with small crocodile and turtles to touch/hold
29,1.0,0.1261,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Bit of an odd place but definitely lots of crocs
30,1.0,0.1261,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Expensive but informative
31,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Just Wrong
32,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",CRAZY CROCS
33,0.0,0.1285,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Long Jaws
34,1.0,0.1264,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace","Grubby, dusty and not a lot to see..."
35,3.0,0.1285,"tea, grow, cart, live, shoe, donkey, pity, receive, hospitality, hide",Not sure what the attraction is...maybe its the donkeys! 
36,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Rather a let down
37,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Not very good
38,4.0,0.1258,"drive, day, secret, expensive, target, forever, hour, find, hearte, building",Poor Access and over grown Grass
39,6.0,0.1285,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",Not quite expected
40,3.0,0.1281,"tea, grow, cart, live, shoe, donkey, pity, receive, hospitality, hide","Green Bliss! Historic Tea& tree lessons!Nature walk!Gourmet food! English hospitality in Simple,Stately, Style!"
41,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Sad Symbol
42,6.0,0.1285,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",Tedious
43,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Mnarani Ruins Review
44,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",A visit to the small hill in Kilifi
45,3.0,0.1198,"tea, grow, cart, live, shoe, donkey, pity, receive, hospitality, hide",A hidden treat
46,2.0,0.1389,"hold, street, small, green, nature, memory, suppose, idyllic, forgettable, pale",Average buffet lunch
47,7.0,0.1285,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Out of the ordinary 
48,4.0,0.1285,"drive, day, secret, expensive, target, forever, hour, find, hearte, building",A well-kept secret!
49,1.0,0.1237,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Terrible Cancellation Policy and Communications
50,0.0,0.1198,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Getting run down
51,5.0,0.1285,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn",Quaint but dirty
52,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local","Interesting, but a dangerous area, so beware!"
53,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",sad to see that
54,0.0,0.1261,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Old town a look back in the past
55,2.0,0.1242,"hold, street, small, green, nature, memory, suppose, idyllic, forgettable, pale",Idyllic little place 
56,5.0,0.1214,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn",Casual dining delivered with class
57,6.0,0.1285,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",A disappointment and true let down from the previous visit
58,6.0,0.1197,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed","Rather small, not many old buildings"
59,5.0,0.1354,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn",Old town is based on Arabic style with narrow roads
60,1.0,0.1261,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Not worth the time or money
61,5.0,0.1235,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn","Well informed guide, but a bit expensive"
62,6.0,0.1237,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",Not well managed and not worth the money.
63,5.0,0.1282,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn",all the worst snakes you can imagine
64,6.0,0.1261,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",Creepy but mind blowing
65,1.0,0.1285,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Sad! Lost opportunity there
66,6.0,0.1285,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",Depressing 
67,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",A Diamond in the Rough
68,8.0,0.1426,"hard, gem, money, tourist, service, city, green, run, enclosure, racist",Hard to believe the target was missed
69,7.0,0.1261,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Not worth the money
70,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Average
71,4.0,0.1242,"drive, day, secret, expensive, target, forever, hour, find, hearte, building",We found it to be a rather sad
72,6.0,0.1264,"experience, expect, tour, fact, building, depress, elephant, cold, manage, informed",Not sure what to write
73,4.0,0.1285,"drive, day, secret, expensive, target, forever, hour, find, hearte, building","Drove by, not much to see."
74,4.0,0.1237,"drive, day, secret, expensive, target, forever, hour, find, hearte, building",Clicked a few photos while passing by
75,1.0,0.1261,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",See once and instantly forgettable!
76,1.0,0.1216,"time, lot, food, heavy, informative, ahead, poorly, pink, lose, pace",Rude and snobbish service
77,5.0,0.1237,"crocodile, snake, narrow, oasis, history, bit, typical, access, couple, warn",Unbelievable soroundings and helpless services 
78,7.0,0.1264,"worth, walk, guide, make, hide, animal, imagine, photo, stately, style",Not original
79,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",An oasis of green
80,0.0,0.1111,"small, long, trip, past, bore, wife, coffee, casual, beach, local",Average Museum
