Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
671,5.0,0.1422,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Impressive construction 
672,3.0,0.1528,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece","Beautiful, spiritual, historically important site"
673,0.0,0.1422,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Well worth a visit
674,7.0,0.1536,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Amazing feat of engineering and architecture!!
675,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Interesting
676,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Interesting visit!
677,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Worth the Visit!
678,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Fantastic place
679,3.0,0.1394,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",An unforgettable trip
680,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Great day out
681,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",WOW!
682,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing churchs
683,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",very impressive but overpriced
684,2.0,0.1368,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Lalibela is a must for fairly adventurous travellers. .
685,0.0,0.1368,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Definitly worth visiting
686,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",extraordinary
687,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Fascinating & beautiful
688,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Definitely the most unique place in whole Ethiopia
689,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",One of the the most beautiful buildings in the world.
690,5.0,0.1422,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Breathtakingly beautiful.
691,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Special place
692,5.0,0.1378,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",The most famous of them all
693,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Fantastic Churches
694,5.0,0.1394,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Centuries-old churches --Amazing architecture
695,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Truly amazing
696,7.0,0.1394,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Amazing World Heritage Site
697,7.0,0.1394,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Absolutely Incredible
698,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Awesome
699,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Great guide for Lalibelas churches
700,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",WOW
701,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Beautiful
702,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!
703,7.0,0.1422,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",best tourist attraction in ethiopia
704,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Stunning Place - shame about the Machiato ;)
705,3.0,0.1557,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Amazing collection of wonders - overpriced & flea ridden
706,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",All are pretty astounding
707,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image","Guide in Lalibela, I warmly recomend our guide Alebachew"
708,3.0,0.1557,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Unforgettable experience (with a few warnings of course)
709,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Worth a visit
710,5.0,0.1334,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Amazing sites
711,3.0,0.1587,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Lalibela with 12 year old kids
712,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Unique experience
713,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image","Really amazing, must see!"
714,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Great!
715,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Spectacular!
716,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Worth your time
