Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,1.0,0.183,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",Go before it is too late
1,1.0,0.1808,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",A sea of pink.
2,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",disappointed
3,3.0,0.1761,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",11 mile long white sand
4,3.0,0.1987,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",Time your visit carefully
5,3.0,0.177,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",Fulfilled a long held dream
6,0.0,0.1728,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Big Game View in a just a few hours !
7,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Very dry
8,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Average 
9,0.0,0.183,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Game Watchers Safari
10,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",How could you not love this?
11,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Visit to Giraffe Center
12,5.0,0.1987,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty","Its long way to Giraffe Centre, its long way to go..."
13,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Giraffes are not great kissers!
14,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Disappointment
15,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high","Very few flamingoes, but lots of other wildlife"
16,2.0,0.1761,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",And they say Disneyland is the happiest place on earth - These elephants have it hands down!
17,3.0,0.1803,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",Saw a wide variety of wildlife
18,5.0,0.183,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Dont waste your money here
19,2.0,0.1795,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",Amazing refuge for sick turtles
20,1.0,0.1743,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",Overpriced like all other National Parks in Kenya
21,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Quick game fix in the city
22,5.0,0.183,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Poor persons’ safari at the gates of Nairobi
23,2.0,0.1728,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",A little bit of natural paradise in a bustling city!
24,1.0,0.1786,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",Came only for the flamingoes & was disappointed 
25,0.0,0.1795,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Hard to believe this place is so close to Nairobi
26,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Youd be mad not to
27,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",A little disappointing
28,1.0,0.2099,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",Not many flamingos but get there early for lions and leopards!
29,4.0,0.1743,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",Scary with change
30,4.0,0.195,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half","A lot of animals in one, small place"
31,4.0,0.1795,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",A hidden treasure
32,5.0,0.1761,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Feels a little like a non caged zoo
33,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Small reserve 
34,3.0,0.1824,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",These little elephants creep into your heart
35,0.0,0.1914,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Exclusive game viewing in a Conservancy
36,4.0,0.1808,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",African Sermon Safaris Mount Kenya Trek Arrangements
37,2.0,0.1914,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide","Large Game Park, particularly known for red elephants"
38,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Game drive
39,4.0,0.1795,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",Pity it is still flooded
40,4.0,0.183,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",no flamigoes :( ... but everything else is there
41,2.0,0.1914,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",Had a sundowner and indian snax at the river after a game drive one evening. Breakfast in the bush after game drive.
42,5.0,0.183,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty","A bit disappointing,"
43,1.0,0.183,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",Seriously the highlight of my visit to Nairobi
44,2.0,0.1743,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",Unbelievable
45,0.0,0.1872,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Unbeliveable sights so few people get to see in person
46,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Disappointment
47,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Average place
48,4.0,0.1774,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",Terrible mass tourism
49,1.0,0.1795,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private",Expensive for a short visit
50,4.0,0.183,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",A little disapointed
51,0.0,0.1795,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Expensive but worth it!
52,0.0,0.183,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Just plain ecstasy!
53,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Little heaven.
54,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",As green as it gets.
55,5.0,0.1935,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty","A must if you can spare few hours (at least half a day, 4-6 hours) preferably early in the morning."
56,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",A Game Park in the City!
57,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Fed the blind rhino
58,5.0,0.183,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Little patch of heaven
59,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Exciting game view by bike!
60,2.0,0.1795,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",Amazing experience that allows you to see why we are a horrible species...
61,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Giraffe Center
62,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Unpleasant Orphanage
63,4.0,0.188,"small, pink, drive, lot, spend, rhino, giraffe, visit, white, half",A small peace of the wilderness
64,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",You wont be disappointed!
65,2.0,0.188,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",A must do (In dry season)
66,3.0,0.1811,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",Long time supporter of these guys
67,2.0,0.183,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide","Sad, but uplifting"
68,0.0,0.1808,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Mara didnt fail to entertain
69,5.0,0.177,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Long necks and sticky tongues!
70,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Hardly any flamingos
71,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Cheesy but Not to Miss
72,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Giraffe Center: A must visit when in Kenya
73,3.0,0.1782,"elephant, time, baby, big, morning, variety, kid, feed, visit, green",Wide variety of animals
74,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",giraffe center
75,2.0,0.1795,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",Confusing experience
76,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",A Game Park in The City
77,1.0,0.1831,"expensive, flamingo, center, hard, late, black, crowd, early, lion, private","Crocs,Hippos, Baboons and small monkeys who steal food"
78,3.0,0.2024,"elephant, time, baby, big, morning, variety, kid, feed, visit, green","Helping to keep baby elephants from perishing due to poachers by getting to interact with them? Yes, please."
79,2.0,0.1845,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",False advertising very few flamingoes left water too high
80,0.0,0.1667,"worth, view, close, beach, gem, plain, limited, boy, stay, high",Rhino but few flamingos
81,5.0,0.183,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Animals very Tame
82,5.0,0.196,"animal, long, day, bit, wildlife, walk, money, hour, expect, plenty",Unbelievable opportunity to see wildlife so close to urban center
83,2.0,0.179,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide","Quick ride from the city center, to bad rain season"
84,2.0,0.183,"game, experience, city, unbelievable, average, tour, trip, water, dry, hide",Tears down my face
85,0.0,0.1795,"worth, view, close, beach, gem, plain, limited, boy, stay, high",The Pink and Blue lizard
