Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.1154,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Must go! Views are spectacular
1,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Awe inspiring
2,5.0,0.1282,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Simien mountains trekking and tours :)
3,3.0,0.1068,"unforgettable, experience, operator, local, adventure, hike, gismu, country, remote, camping",Great experience.
4,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Wonderful trek in the Simien Mountains National Park
5,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Amazing
6,6.0,0.1154,"recommend, highly, unique, time, animal, organize, guide, wildlife, simply, team",Omo Valley - It is an unique experience
7,5.0,0.1155,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Amazing tour with Mieraf
8,6.0,0.1296,"recommend, highly, unique, time, animal, organize, guide, wildlife, simply, team",Excellent Guide made for a Wonderful Experience. Highly Recommend!
9,0.0,0.1154,"trip, day, simien, world, service, real, find, adventure, climb, drive",Once in my life Good guide and nice trip
10,2.0,0.125,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Life Changing Adventure - incomparable experiences with Firew Fikadu (Round Omo Valley)
11,5.0,0.1111,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Best experience ever made with our guide Andualem Geberekirstos from Zani Tours in Jinka
12,5.0,0.1154,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Zani Ethiopian Tours - Great Experience
13,1.0,0.1189,"guide, area, trip, travel, monkey, southern, region, track, wild, tour",Incredible off the beaten track experience. I had great guide who made sure my experience was memorable.
14,3.0,0.1175,"unforgettable, experience, operator, local, adventure, hike, gismu, country, remote, camping",Unforgettable experience!!
15,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive","Good tour, best guide!"
16,7.0,0.1176,"scenery, incredible, worth, life, trekking, visit, culture, stay, yalew, robel",nice scenery
17,3.0,0.1132,"unforgettable, experience, operator, local, adventure, hike, gismu, country, remote, camping",Absolutely mind blowing
18,3.0,0.1154,"unforgettable, experience, operator, local, adventure, hike, gismu, country, remote, camping",Great trip in Simien Moutains National Park
19,9.0,0.1296,"spectacular, landscape, trek, top, nature, walk, natural, young, memorable, tourist","A wonderful 5 days trek in these amazing high Ethiopian lands with a young guide,Sahlie"
20,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",PERFECT!
21,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Amazing Place
22,6.0,0.1111,"recommend, highly, unique, time, animal, organize, guide, wildlife, simply, team",Unique Landscape with rare endemics
23,2.0,0.1176,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Stunning
24,4.0,0.1154,"experience, tribe, baboon, driver, authentic, extraordinary, week, sight, bale, challenge","Spectacular mountains, park, baboons"
25,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",execllent tour and best organization
26,9.0,0.1176,"spectacular, landscape, trek, top, nature, walk, natural, young, memorable, tourist",Amazing natural place 
27,1.0,0.1111,"guide, area, trip, travel, monkey, southern, region, track, wild, tour",Amazing experience! Out of this world scenery and great guides.
28,2.0,0.1132,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Amazing view and hundreds of baboons on the way to Imet Gogo
29,8.0,0.1346,"experience, people, hiking, night, make, company, part, family, earth, budget",Hiking in the Simien Mountains made easy
30,4.0,0.1197,"experience, tribe, baboon, driver, authentic, extraordinary, week, sight, bale, challenge",Extraordinary experience in Omo Valley
31,1.0,0.1154,"guide, area, trip, travel, monkey, southern, region, track, wild, tour",great driver/guide around Omo
32,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Shigo is the BEST GUIDE!
33,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Antu Korra the best guide ever
34,4.0,0.1176,"experience, tribe, baboon, driver, authentic, extraordinary, week, sight, bale, challenge",Best Driver
35,0.0,0.1133,"trip, day, simien, world, service, real, find, adventure, climb, drive",Tilahun Zerihun will drive you safely anywhere!
36,0.0,0.1176,"trip, day, simien, world, service, real, find, adventure, climb, drive",Amazing trip !
37,5.0,0.1176,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Good tour around Simien Mountains NP!
38,8.0,0.1154,"experience, people, hiking, night, make, company, part, family, earth, budget",Terrific hike with wonderful tour company
39,6.0,0.1176,"recommend, highly, unique, time, animal, organize, guide, wildlife, simply, team",Very recommended guide: Teshome Bezabe
40,0.0,0.1132,"trip, day, simien, world, service, real, find, adventure, climb, drive",great experience tour guide with excellent service
41,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Adventure at its best
42,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Beautiful
43,1.0,0.1154,"guide, area, trip, travel, monkey, southern, region, track, wild, tour",Unforgettable landscapes and loads of monkeys
44,2.0,0.1321,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Stunning views and adventure
45,4.0,0.1068,"experience, tribe, baboon, driver, authentic, extraordinary, week, sight, bale, challenge",Totally breathtaking!
46,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",excellent tour guide
47,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Some breathtaking views
48,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Great fun at Simien Mountains with Robel
49,5.0,0.1176,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket","Outstanding guide, David Yohannes, with Ras Dashen tours in Debark"
50,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",A wonderful 4 day trek with Lijalem Meseret
51,7.0,0.1133,"scenery, incredible, worth, life, trekking, visit, culture, stay, yalew, robel",Great Accommodation
52,5.0,0.1132,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Tailor made treking definitely worth it!
53,1.0,0.1216,"guide, area, trip, travel, monkey, southern, region, track, wild, tour",finding good guide with good price
54,6.0,0.127,"recommend, highly, unique, time, animal, organize, guide, wildlife, simply, team","Highly recommended tour guide, Yalew Tafete"
55,0.0,0.1154,"trip, day, simien, world, service, real, find, adventure, climb, drive","Hiking in Simien Mountains with the amazing coordinator, Dezy!"
56,1.0,0.1176,"guide, area, trip, travel, monkey, southern, region, track, wild, tour",Excellent rangers
57,8.0,0.1154,"experience, people, hiking, night, make, company, part, family, earth, budget",Doesnt live up to the hype
58,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Fabulous!
59,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Worth a visite
60,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Great Trekking
61,2.0,0.109,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Beautiful three day trekking in the Simien mountains
62,1.0,0.1174,"guide, area, trip, travel, monkey, southern, region, track, wild, tour","The Park awesome. The car, defective with no refund or replacement from Mr Yalik in Debark."
63,4.0,0.1154,"experience, tribe, baboon, driver, authentic, extraordinary, week, sight, bale, challenge",Challenging but rewarding trek from Simien Mountains to Lalibela
64,9.0,0.1132,"spectacular, landscape, trek, top, nature, walk, natural, young, memorable, tourist",A real tourist trap
65,7.0,0.1414,"scenery, incredible, worth, life, trekking, visit, culture, stay, yalew, robel",Great Scenery but short on Mammals except Gelado Baboons
66,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Lovely place with excellent guide!
67,2.0,0.1153,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Spectacular 3 days in Simen Mountains 
68,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Simien mountains are amazing ⛰🏕
69,0.0,0.1447,"trip, day, simien, world, service, real, find, adventure, climb, drive",Great one-day trip at Simiens!
70,5.0,0.1176,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Absolutely awesome!!!
71,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Epic
72,2.0,0.1176,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",stunning
73,2.0,0.1176,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Amazing view
74,7.0,0.1133,"scenery, incredible, worth, life, trekking, visit, culture, stay, yalew, robel",Worth the climb.
75,6.0,0.1176,"recommend, highly, unique, time, animal, organize, guide, wildlife, simply, team",Simply magnificent
76,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Amazing views
77,2.0,0.1321,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Stunning rock formations and amazing views
78,4.0,0.1197,"experience, tribe, baboon, driver, authentic, extraordinary, week, sight, bale, challenge",Tesh was an amazing tour guide with an experienced driver!
79,2.0,0.125,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket","Views are unparalleled! Gelada baboons at your feet, just like a Planet Earth special!"
80,0.0,0.13,"trip, day, simien, world, service, real, find, adventure, climb, drive","Excellent Trip, give yourself a few days to really enjoy"
81,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Amazing!!
82,2.0,0.1111,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Fabulous walking and the most incredible views down the Rift valley
83,2.0,0.1154,"view, stunning, day, wildlife, time, lot, price, experiance, beware, bewket",Beautiful landscape but beware of many scams
84,5.0,0.1176,"tour, trek, world, absolutely, night, worth, traveler, spot, contact, bereket",Great tour
85,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Fantastic trekking with Ginbie from Hike Simiens 
86,0.0,0.1,"trip, day, simien, world, service, real, find, adventure, climb, drive",Magic Place
