Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,1.0,0.1422,"hard, important, presentation, tough, depressing, building, shape, period, small, lighting",Sorry no - read the Bradt Guide
1,2.0,0.1394,"reminder, bit, chill, display, lonely, historical, move, organize, real, chilling",Dusty and poorly displayed
2,2.0,0.141,"reminder, bit, chill, display, lonely, historical, move, organize, real, chilling","Intersting stuff, but poor presentation"
3,7.0,0.1422,"information, close, chapter, understand, reality, insightful, random, review, bone, hearte",Shocking but must be visited!
4,3.0,0.14,"dark, average, recent, difficult, guide, curate, monument, preserve, ministerial, expo",Captivating and shocking
5,0.0,0.125,"informative, past, era, time, gem, view, tale, derg, cover, raw","Probably a must see, but not much to keep you there"
6,0.0,0.1394,"informative, past, era, time, gem, view, tale, derg, cover, raw",Grace gone a bit down.
7,2.0,0.1692,"reminder, bit, chill, display, lonely, historical, move, organize, real, chilling",Home to Lucy but overcrowded with Children and poor displays
8,0.0,0.125,"informative, past, era, time, gem, view, tale, derg, cover, raw",Hardly world class
9,0.0,0.125,"informative, past, era, time, gem, view, tale, derg, cover, raw",Disappointing
10,6.0,0.1528,"poorly, learn, closed, selam, nonetheless, rimbaud, compelling, exhibition, window, visit",Learn about Ethiopias different ethnic groups in less than one-hour!
11,4.0,0.1347,"small, time, regime, hide, forget, ancestor, testament, evidence, intense, background",Emotional experience not for the faint hearted
12,5.0,0.1422,"history, worth, topic, hidden, bone, city, access, electricity, hit, implementation",Fascinating museum and horrific history
13,1.0,0.1422,"hard, important, presentation, tough, depressing, building, shape, period, small, lighting",in poor shape...
14,0.0,0.1528,"informative, past, era, time, gem, view, tale, derg, cover, raw",Visited the National Museum with Secret Island Ethiopia Tours
15,0.0,0.125,"informative, past, era, time, gem, view, tale, derg, cover, raw",Chilling museum of a forgotten horror
16,2.0,0.1422,"reminder, bit, chill, display, lonely, historical, move, organize, real, chilling",Chilling
17,1.0,0.1422,"hard, important, presentation, tough, depressing, building, shape, period, small, lighting",The Museum is Interesting but in terrible shape
18,0.0,0.125,"informative, past, era, time, gem, view, tale, derg, cover, raw",Average Museum
19,5.0,0.1368,"history, worth, topic, hidden, bone, city, access, electricity, hit, implementation",Poorly curated but just worth a visit
20,7.0,0.1431,"information, close, chapter, understand, reality, insightful, random, review, bone, hearte",A lot of information in a little building
21,0.0,0.1356,"informative, past, era, time, gem, view, tale, derg, cover, raw",very boring
22,0.0,0.125,"informative, past, era, time, gem, view, tale, derg, cover, raw",Interesting but a Little Disappointing
