Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.1782,"gem, worth, bit, hide, exhibit, long, past, art, big, location",Big engines in small museum
1,0.0,0.1987,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",A Poor Advocate for Science and Reason
2,2.0,0.1887,"gem, worth, bit, hide, exhibit, long, past, art, big, location",Intresting half day tour
3,1.0,0.1795,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",Not enough evidence of what they say a bout the ruins
4,1.0,0.183,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",Expensive for what you get
5,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Not much else to see so might as well go there
6,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Pathetic restrunt service
7,2.0,0.1795,"gem, worth, bit, hide, exhibit, long, past, art, big, location",A bit boring
8,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",A very historical place but sadly not much inside
9,4.0,0.183,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",to see because there are few things to see otherwise
10,1.0,0.1795,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",The entrance too expensive
11,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Very Small Collection
12,4.0,0.183,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",The Columns House! Below average as museums go...
13,5.0,0.1803,"history, time, money, hard, informative, wide, building, variety, painting, wall",Saved by inclusion of other stops
14,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Small but informative
15,4.0,0.183,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",A walk in the past
16,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention","Small, but very informative"
17,3.0,0.1786,"bore, past, blast, lane, step, people, mediocre, foreigner, random, restaurant",Less than what I expected
18,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",not impressive
19,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",A glimpse of the past
20,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",just average
21,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",A little of everything....
22,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Just Average!
23,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Bit Boring
24,4.0,0.1808,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",Time well spent
25,1.0,0.183,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent","average, but a must see"
26,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Big let down
27,2.0,0.1761,"gem, worth, bit, hide, exhibit, long, past, art, big, location",long time ago
28,0.0,0.195,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Small museum with a lot of variety
29,0.0,0.195,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Small museum on Maasai culture
30,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Hardly a Museum!
31,1.0,0.1761,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",Big museum with wide content
32,4.0,0.188,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make","boring if youve never seen or read ""Out of Africa"""
33,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Something Ive Been Wanting to See Since I was Little...
34,3.0,0.1923,"bore, past, blast, lane, step, people, mediocre, foreigner, random, restaurant",A step into the past
35,1.0,0.1816,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",Dam expensive for what you get
36,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Small museum expensive
37,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Disappointing 
38,1.0,0.1872,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent","Fairly average, even for a history geek like me"
39,2.0,0.1944,"gem, worth, bit, hide, exhibit, long, past, art, big, location",The worst museum Ive ever paid to enter
40,4.0,0.1795,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",History of Kenya and other African Countries
41,0.0,0.1795,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",A lot of history in one little place
42,3.0,0.1923,"bore, past, blast, lane, step, people, mediocre, foreigner, random, restaurant",Step into the past.
43,2.0,0.183,"gem, worth, bit, hide, exhibit, long, past, art, big, location",Nostalgic Rundown
44,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",Bored in the Bomas
45,0.0,0.1667,"small, lot, culture, boring, hour, tour, steam, fan, poorly, attention",This is awkward
46,1.0,0.1887,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",DECENT COLLECTION BUT SNAKE PARK DISAPPOINTING
47,1.0,0.1808,"expensive, average, historical, treasure, trip, bit, gallery, karen, fairly, decent",Secret garden 
48,3.0,0.1786,"bore, past, blast, lane, step, people, mediocre, foreigner, random, restaurant",Connect with the past
49,2.0,0.183,"gem, worth, bit, hide, exhibit, long, past, art, big, location","Tired, but well worth a visit."
50,2.0,0.2099,"gem, worth, bit, hide, exhibit, long, past, art, big, location",Hidden Gem for Railroad Enthusiasts
51,4.0,0.183,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",A walk in the past
52,3.0,0.1902,"bore, past, blast, lane, step, people, mediocre, foreigner, random, restaurant",Poorly managed museum..
53,4.0,0.1977,"spend, bore, walk, collection, thing, memory, slow, foreigner, overprice, make",boring... boring.. the only thing worth watching was the River birds.. building their nest..
54,5.0,0.195,"history, time, money, hard, informative, wide, building, variety, painting, wall",Lots of Nairobi history in this little building
55,5.0,0.1914,"history, time, money, hard, informative, wide, building, variety, painting, wall",An introduction to the complex history of the Kenyan coast...
